data;ora solare;valore;tipo
28/05/2016;08:25;-0.07;min
28/05/2016;17:40;0.61;max
28/05/2016;23:15;0.34;min
29/05/2016;02:40;0.44;max
29/05/2016;09:40;0.02;min
29/05/2016;17:10;0.79;max
30/05/2016;01:05;0.28;min
30/05/2016;03:45;0.32;max
30/05/2016;10:25;0.09;min
30/05/2016;17:30;0.80;max
31/05/2016;01:50;0.04;min
31/05/2016;07:10;0.36;max
31/05/2016;12:10;0.14;min
31/05/2016;19:05;0.80;max
01/06/2016;02:15;-0.10;min
01/06/2016;08:35;0.44;max
01/06/2016;13:05;0.12;min
01/06/2016;20:05;0.86;max
02/06/2016;03:00;-0.19;min
02/06/2016;08:50;0.53;max
02/06/2016;13:40;0.11;min
02/06/2016;20:25;0.84;max
03/06/2016;03:40;-0.26;min
03/06/2016;10:05;0.51;max
03/06/2016;14:40;0.14;min
03/06/2016;21:20;0.82;max
04/06/2016;04:40;-0.33;min
04/06/2016;10:40;0.60;max
04/06/2016;15:45;0.14;min
04/06/2016;21:40;0.82;max
05/06/2016;04:55;-0.33;min
05/06/2016;11:40;0.62;max
05/06/2016;16:30;0.17;min
05/06/2016;22:35;0.78;max
06/06/2016;05:30;-0.34;min
06/06/2016;12:10;0.57;max
06/06/2016;17:15;0.12;min
06/06/2016;22:50;0.67;max
07/06/2016;05:55;-0.37;min
07/06/2016;13:00;0.56;max
07/06/2016;18:10;0.11;min
07/06/2016;23:35;0.60;max
08/06/2016;06:40;-0.32;min
08/06/2016;13:40;0.55;max
08/06/2016;18:25;0.16;min
09/06/2016;00:25;0.52;max
09/06/2016;07:40;-0.22;min
09/06/2016;15:00;0.58;max
09/06/2016;20:00;0.24;min
10/06/2016;00:30;0.53;max
10/06/2016;07:50;-0.16;min
10/06/2016;15:20;0.66;max
10/06/2016;20:25;0.31;min
11/06/2016;00:35;0.48;max
11/06/2016;07:20;0.02;min
11/06/2016;14:50;0.71;max
12/06/2016;00:55;0.33;min
12/06/2016;02:40;0.34;max
12/06/2016;09:05;0.11;min
12/06/2016;17:35;0.77;max
13/06/2016;05:10;0.23;min
13/06/2016;08:45;0.31;max
13/06/2016;11:00;0.23;min
13/06/2016;19:00;0.73;max
14/06/2016;01:10;0.14;min
14/06/2016;07:15;0.47;max
14/06/2016;11:55;0.28;min
14/06/2016;18:40;0.77;max
15/06/2016;02:15;0.19;min
15/06/2016;08:15;0.58;max
15/06/2016;12:55;0.26;min
15/06/2016;19:25;0.81;max
16/06/2016;03:05;0.14;min
16/06/2016;09:05;0.70;max
16/06/2016;13:00;0.52;min
16/06/2016;20:15;1.17;max
17/06/2016;04:35;0.22;min
17/06/2016;09:10;0.63;max
17/06/2016;14:20;0.32;min
17/06/2016;21:00;0.95;max
18/06/2016;04:05;-0.14;min
18/06/2016;10:15;0.55;max
18/06/2016;14:45;0.30;min
18/06/2016;21:05;0.87;max
19/06/2016;04:30;-0.20;min
19/06/2016;10:25;0.63;max
19/06/2016;15:30;0.26;min
19/06/2016;22:05;0.86;max
20/06/2016;04:55;-0.17;min
20/06/2016;12:05;0.77;max
20/06/2016;16:35;0.34;min
20/06/2016;21:55;0.79;max
21/06/2016;05:10;-0.24;min
21/06/2016;12:15;0.71;max
21/06/2016;17:40;0.17;min
21/06/2016;22:55;0.68;max
22/06/2016;05:35;-0.27;min
22/06/2016;12:40;0.62;max
22/06/2016;17:55;0.11;min
22/06/2016;23:35;0.66;max
23/06/2016;06:20;-0.18;min
23/06/2016;13:15;0.61;max
23/06/2016;18:25;0.15;min
24/06/2016;00:05;0.71;max
24/06/2016;06:50;-0.16;min
24/06/2016;13:30;0.60;max
24/06/2016;18:50;0.25;min
25/06/2016;00:15;0.69;max
25/06/2016;07:30;-0.10;min
25/06/2016;14:55;0.66;max
25/06/2016;20:30;0.34;min
26/06/2016;00:40;0.63;max
26/06/2016;08:00;-0.03;min
26/06/2016;16:05;0.72;max
26/06/2016;21:50;0.39;min
27/06/2016;00:25;0.49;max
27/06/2016;09:05;0.05;min
27/06/2016;17:00;0.76;max
28/06/2016;00:45;0.24;min
28/06/2016;04:30;0.33;max
28/06/2016;10:10;0.04;min
28/06/2016;17:30;0.70;max
29/06/2016;00:50;0.00;min
29/06/2016;06:45;0.34;max
29/06/2016;11:20;0.14;min
29/06/2016;18:35;0.67;max
30/06/2016;01:50;-0.07;min
30/06/2016;07:45;0.48;max
30/06/2016;12:35;0.15;min
30/06/2016;19:30;0.77;max
01/07/2016;02:35;-0.12;min
01/07/2016;09:00;0.45;max
01/07/2016;13:40;0.15;min
01/07/2016;20:35;0.79;max
02/07/2016;03:55;-0.22;min
02/07/2016;09:55;0.54;max
02/07/2016;14:30;0.16;min
02/07/2016;21:10;0.85;max
