Data;Ora solare;Valore;Tipo
25/07/2011;10:00;56; max
25/07/2011;12:50;48; min
25/07/2011;18:05;70; max
26/07/2011;02:15;3; min
26/07/2011;09:40;62; max
26/07/2011;13:45;45; min
26/07/2011;19:05;71; max
27/07/2011;03:00;-6; min
27/07/2011;09:50;63; max
27/07/2011;14:15;33; min
27/07/2011;19:35;76; max
28/07/2011;03:25;-14; min
28/07/2011;10:20;59; max
28/07/2011;15:10;20; min
28/07/2011;21:20;73; max
29/07/2011;04:25;-21; min
29/07/2011;10:45;57; max
29/07/2011;15:30;16; min
29/07/2011;21:35;80; max
30/07/2011;04:50;-26; min
30/07/2011;11:20;64; max
30/07/2011;16:30;21; min
30/07/2011;22:10;86; max
31/07/2011;05:35;-27; min
31/07/2011;12:15;73; max
31/07/2011;17:05;14; min
31/07/2011;23:00;82; max
01/08/2011;05:50;-32; min
01/08/2011;12:25;74; max
01/08/2011;18:00;13; min
01/08/2011;23:20;65; max
02/08/2011;06:00;-29; min
02/08/2011;13:10;75; max
02/08/2011;19:10;6; min
03/08/2011;00:10;50; max
03/08/2011;06:25;-24; min
03/08/2011;13:35;78; max
03/08/2011;19:55;0; min
04/08/2011;00:55;47; max
04/08/2011;06:45;-5; min
04/08/2011;13:55;72; max
04/08/2011;20:20;3; min
05/08/2011;02:25;42; max
05/08/2011;07:20;0; min
05/08/2011;14:25;68; max
05/08/2011;21:25;0; min
06/08/2011;03:00;33; max
06/08/2011;07:40;12; min
06/08/2011;15:10;67; max
06/08/2011;22:35;12; min
07/08/2011;17:25;68; max
08/08/2011;02:00;5; min
08/08/2011;09:00;50; max
08/08/2011;12:50;43; min
08/08/2011;18:30;75; max
09/08/2011;02:50;-8; min
09/08/2011;09:00;61; max
09/08/2011;13:30;30; min
09/08/2011;19:15;71; max
10/08/2011;03:05;-25; min
10/08/2011;10:10;48; max
10/08/2011;14:30;23; min
10/08/2011;19:55;60; max
11/08/2011;03:20;-27; min
11/08/2011;10:35;62; max
11/08/2011;15:50;16; min
11/08/2011;20:50;50; max
12/08/2011;03:50;-21; min
12/08/2011;10:55;67; max
12/08/2011;16:50;8; min
12/08/2011;22:10;64; max
13/08/2011;04:35;-20; min
13/08/2011;11:10;66; max
13/08/2011;16:50;-2; min
13/08/2011;22:25;73; max
14/08/2011;05:10;-23; min
14/08/2011;11:35;63; max
14/08/2011;17:00;0; min
14/08/2011;22:45;72; max
15/08/2011;05:30;-20; min
15/08/2011;12:10;66; max
15/08/2011;17:35;9; min
15/08/2011;23:10;66; max
16/08/2011;05:55;-26; min
16/08/2011;12:35;64; max
16/08/2011;18:25;2; min
16/08/2011;23:45;55; max
17/08/2011;06:05;-25; min
17/08/2011;12:55;66; max
17/08/2011;18:40;-1; min
18/08/2011;00:15;50; max
18/08/2011;06:10;-15; min
18/08/2011;12:55;64; max
18/08/2011;19:10;1; min
19/08/2011;00:35;43; max
19/08/2011;06:30;-3; min
19/08/2011;13:35;63; max
19/08/2011;19:40;8; min
20/08/2011;00:55;39; max
20/08/2011;07:05;-2; min
20/08/2011;13:25;53; max
20/08/2011;20:40;7; min
21/08/2011;01:35;25; max
21/08/2011;07:10;5; min
21/08/2011;14:40;53; max
21/08/2011;22:25;5; min
22/08/2011;03:45;19; max
22/08/2011;06:15;15; min
22/08/2011;15:10;54; max
23/08/2011;01:00;0; min
23/08/2011;17:30;50; max
24/08/2011;01:40;-4; min
24/08/2011;09:00;48; max
24/08/2011;13:45;30; min
24/08/2011;19:20;58; max
25/08/2011;02:35;-11; min
25/08/2011;09:10;55; max
25/08/2011;14:20;21; min
25/08/2011;20:20;66; max
26/08/2011;03:05;-17; min
26/08/2011;09:40;62; max
26/08/2011;14:50;17; min
26/08/2011;21:05;75; max
27/08/2011;03:50;-15; min
27/08/2011;10:30;77; max
27/08/2011;16:00;19; min
27/08/2011;21:40;82; max
28/08/2011;04:25;-27; min
28/08/2011;11:10;73; max
28/08/2011;16:45;13; min
28/08/2011;22:15;76; max
29/08/2011;04:55;-31; min
29/08/2011;11:35;80; max
29/08/2011;16:50;1; min
29/08/2011;22:50;72; max
30/08/2011;05:05;-22; min
30/08/2011;11:50;86; max
30/08/2011;18:00;0; min
30/08/2011;23:45;68; max
31/08/2011;05:40;-12; min
31/08/2011;12:25;86; max
31/08/2011;18:40;-3; min
01/09/2011;00:25;63; max
