data;ora solare;valore;tipo;;
04/06/2013;02:50;-0.02;min;;
04/06/2013;08:40;0.48;max;;
04/06/2013;13:25;0.20;min;;
04/06/2013;20:20;0.74;max;;
05/06/2013;03:10;-0.07;min;;
05/06/2013;09:25;0.52;max;;
05/06/2013;14:00;0.21;min;;
05/06/2013;20:45;0.75;max;;
06/06/2013;03:50;-0.15;min;;
06/06/2013;10:00;0.53;max;;
06/06/2013;14:45;0.18;min;;
06/06/2013;20:50;0.71;max;;
07/06/2013;04:25;-0.25;min;;
07/06/2013;10:40;0.52;max;;
07/06/2013;15:30;0.18;min;;
07/06/2013;21:20;0.71;max;;
08/06/2013;05:00;-0.29;min;;
08/06/2013;11:20;0.55;max;;
08/06/2013;16:10;0.22;min;;
08/06/2013;22:05;0.72;max;;
09/06/2013;05:15;-0.20;min;;
09/06/2013;11:55;0.64;max;;
09/06/2013;17:20;0.25;min;;
09/06/2013;22:15;0.74;max;;
10/06/2013;05:45;-0.15;min;;
10/06/2013;12:35;0.65;max;;
10/06/2013;17:35;0.27;min;;
10/06/2013;23:00;0.76;max;;
11/06/2013;06:10;-0.18;min;;
11/06/2013;12:50;0.62;max;;
11/06/2013;17:55;0.22;min;;
11/06/2013;23:30;0.64;max;;
12/06/2013;06:20;-0.20;min;;
12/06/2013;13:30;0.57;max;;
12/06/2013;18:45;0.17;min;;
13/06/2013;00:00;0.58;max;;
13/06/2013;06:50;-0.14;min;;
13/06/2013;14:10;0.51;max;;
13/06/2013;19:05;0.19;min;;
14/06/2013;00:50;0.55;max;;
14/06/2013;07:40;-0.06;min;;
14/06/2013;14:30;0.55;max;;
14/06/2013;20:00;0.25;min;;
15/06/2013;00:55;0.51;max;;
15/06/2013;08:20;-0.03;min;;
15/06/2013;16:20;0.58;max;;
15/06/2013;21:35;0.30;min;;
16/06/2013;01:50;0.40;max;;
16/06/2013;09:20;0.00;min;;
16/06/2013;16:50;0.65;max;;
17/06/2013;00:10;0.20;min;;
17/06/2013;03:35;0.26;max;;
17/06/2013;09:55;0.03;min;;
17/06/2013;17:25;0.67;max;;
18/06/2013;01:15;0.05;min;;
18/06/2013;06:30;0.26;max;;
18/06/2013;11:15;0.12;min;;
18/06/2013;18:20;0.70;max;;
19/06/2013;01:55;-0.06;min;;
19/06/2013;08:40;0.35;max;;
19/06/2013;12:15;0.19;min;;
19/06/2013;19:00;0.73;max;;
20/06/2013;02:45;-0.17;min;;
20/06/2013;09:15;0.49;max;;
20/06/2013;13:40;0.23;min;;
20/06/2013;19:35;0.84;max;;
21/06/2013;03:35;-0.21;min;;
21/06/2013;10:05;0.54;max;;
21/06/2013;14:45;0.20;min;;
21/06/2013;20:45;0.80;max;;
22/06/2013;04:15;-0.31;min;;
22/06/2013;10:50;0.55;max;;
