data;ora solare;valore;tipo;
11/07/2014;16:00;0.42;min;
11/07/2014;21:20;0.94;max;
12/07/2014;04:45;-0.28;min;
12/07/2014;12:05;0.86;max;
12/07/2014;16:55;0.37;min;
12/07/2014;22:00;0.86;max;
13/07/2014;05:10;-0.22;min;
13/07/2014;12:30;0.84;max;
13/07/2014;17:40;0.31;min;
13/07/2014;23:10;0.79;max;
14/07/2014;06:10;-0.19;min;
14/07/2014;13:20;0.82;max;
14/07/2014;18:55;0.14;min;
15/07/2014;00:05;0.73;max;
15/07/2014;06:55;-0.23;min;
15/07/2014;13:20;0.69;max;
15/07/2014;19:00;0.08;min;
16/07/2014;00:30;0.69;max;
16/07/2014;07:05;-0.21;min;
16/07/2014;13:50;0.64;max;
16/07/2014;20:00;0.13;min;
17/07/2014;00:50;0.56;max;
17/07/2014;07:15;-0.14;min;
17/07/2014;14:45;0.62;max;
17/07/2014;21:25;0.17;min;
18/07/2014;01:25;0.40;max;
18/07/2014;07:45;-0.05;min;
18/07/2014;15:40;0.62;max;
18/07/2014;23:00;0.14;min;
19/07/2014;03:35;0.25;max;
19/07/2014;08:15;0.13;min;
